File	Retained Reads	Illumina Filtered	Low Quality	Barcode Not Found	RAD cutsite Not Found	Total
L2203_01_S1_L002_R1_001.fastq.gz	166166071	0	14000744	493396	678089	181338300
L2203_02B_S2_L002_R1_001.fastq.gz	144340529	0	12219500	416559	705605	157682193
L2203_08_S3_L002_R1_001.fastq.gz	86315816	0	7889406	258180	629126	95092528
L2209-01_S1_L002_R1_001.fastq.gz	125151653	0	13625244	418207	804014	139999118
L2209-02_S2_L002_R1_001.fastq.gz	133899605	0	14205731	432913	857202	149395451
L2210-01_S3_L001_R1_001.fastq.gz	111070183	0	12219049	380504	837391	124507127
L2211-01_S1_L001_R1_001.fastq.gz	133159321	0	8480984	372116	2369832	144382253
L2211-02_S2_L001_R1_001.fastq.gz	119113303	0	6882360	38026656	1318832	165341151
Total	1019216481					1157738121
Percentage of total retained						0.880351491
